keys,en,zh_CN,fr,ja,ko,es
TILDEKEY_GO_TO_ANY_ROOM,Go To Any Room,前往任意房间,Aller dans n'importe quelle salle,任意の部屋へ移動,아무 방으로 이동,Ir a cualquier sala
TILDEKEY_LOCK,Lock,锁定,Verrouiller,ロック,잠금,Bloquear
TILDEKEY_STAT_CURRENT_HP,Current HP,当前生命值,PV actuels,現在HP,현재 HP,PV actuales
TILDEKEY_STAT_MAX_HP,Max HP,最大生命值,PV max,最大HP,최대 HP,PV máximos
TILDEKEY_STAT_MAX_ENERGY,Max Energy,最大能量,Énergie max,最大エナジー,최대 에너지,Energía máxima
TILDEKEY_STAT_COMBAT_ENERGY,Combat Energy,战斗能量,Énergie de combat,戦闘エナジー,전투 에너지,Energía de combate
TILDEKEY_STAT_BASE_ORB_SLOTS,Base Orb Slots,基础充能球栏位,Emplacements d'orbe de base,基本オーブスロット,기본 구체 슬롯,Ranuras de orbe base
TILDEKEY_STAT_MAX_POTION_SLOTS,Max Potion Slots,最大药水栏位,Emplacements de potion max,最大ポーションスロット,최대 포션 슬롯,Ranuras de poción máximas
TILDEKEY_STAT_DRAW_PER_TURN,Draw Per Turn,每回合抽牌,Pioche par tour,ターンごとのドロー,턴당 드로우,Robo por turno
TILDEKEY_STAT_HAND_SIZE,Max Hand Size,手牌上限,Taille de main maximale,手札上限,최대 손패 크기,Tamaño máximo de mano
TILDEKEY_STAT_PLAYER_DAMAGE_MULTIPLIER,Player Damage Multiplier(%),玩家伤害倍数（%）,Multiplicateur de dégâts du joueur (%),プレイヤーダメージ倍率（%）,플레이어 피해 배율(%),Multiplicador de daño del jugador (%)
TILDEKEY_STAT_ENEMY_DAMAGE_MULTIPLIER,Enemy Damage Multiplier(%),敌人伤害倍数（%）,Multiplicateur de dégâts des ennemis (%),敵ダメージ倍率（%）,적 피해 배율(%),Multiplicador de daño enemigo (%)
TILDEKEY_INFINITE_ENERGY,Infinite Energy,无限能量,Énergie infinie,無限エナジー,무한 에너지,Energía infinita
TILDEKEY_DRAW_TILL_HAND_LIMIT,Draw Till Hand Limit,抽牌至手牌上限,Piocher jusqu'à la limite de main,手札上限まで引く,손패 한도까지 드로우,Robar hasta el límite de mano
TILDEKEY_SCROLL_RELIC_COUNTER,Scroll Edit Relic Counter,滚轮编辑遗物计数,Modifier le compteur de relique avec la molette,スクロールでレリックカウンターを編集,스크롤로 유물 카운터 편집,Editar contador de reliquia con la rueda
TILDEKEY_KILL_ALL_MONSTERS,Kill all monsters,杀死所有怪物,Tuer tous les monstres,すべてのモンスターを倒す,모든 몬스터 처치,Matar a todos los monstruos
TILDEKEY_STAT_TURN_NUMBER,Turn Number,回合数,Numéro du tour,ターン数,턴 번호,Número de turno
TILDEKEY_STAT_CARD_SHOP_REMOVALS_USED,Card Shop Removals Used,商店删卡次数,Suppressions de carte utilisées en boutique,ショップで使用したカード削除回数,상점 카드 제거 사용 횟수,Eliminaciones de carta usadas en tienda
TILDEKEY_STAT_WONGO_POINTS,Wongo Points,旺购点数,Points Wongo,ウォンゴポイント,웡고 포인트,Puntos Wongo
TILDEKEY_STAT_DAMAGE_DEALT,Damage Dealt,已造成伤害,Dégâts infligés,与えたダメージ,가한 피해,Daño infligido
TILDEKEY_STAT_DEBUFFS_APPLIED,Debuffs Applied,已施加减益,Malus appliqués,付与したデバフ,적용한 디버프,Perjuicios aplicados
TILDEKEYALT_TITLE,Tilde Key,波浪键,Touche tilde,チルダキー,물결표 키,Tecla de tilde
TILDEKEYALT_DESC,Right-click this relic to select debug powers you want. Left Click fields to edit them. Ctrl + right click to kill all monsters. Shift + right click to spare all monsters.,右键此遗物来进行调试。 左键数值来修改它。 Ctrl + 右键来杀死房间所有怪物。 Shift + 右键来饶恕所有房间所有怪物。,Faites un clic droit sur cette relique pour choisir les options de débogage. Cliquez sur les champs pour les modifier. Ctrl + clic droit pour tuer tous les monstres. Maj + clic droit pour épargner tous les monstres.,このレリックを右クリックすると、デバッグ機能を選択できます。項目を左クリックして編集します。Ctrl + 右クリックですべてのモンスターを倒し、Shift + 右クリックですべてのモンスターを見逃します。,"이 유물을 우클릭하면 원하는 디버그 기능을 선택할 수 있습니다. 필드를 좌클릭하여 편집합니다. Ctrl + 우클릭으로 모든 몬스터를 처치하고, Shift + 우클릭으로 모든 몬스터를 살려 둡니다.",Haz clic derecho en esta reliquia para elegir las funciones de depuración. Haz clic izquierdo en los campos para editarlos. Ctrl + clic derecho para matar a todos los monstruos. Mayús + clic derecho para perdonarlos.
BOTTLEDMONSTER_TITLE,Bottled Monster,瓶装怪物,Monstre en bouteille,瓶詰めモンスター,병 속의 몬스터,Monstruo embotellado
BOTTLEDMONSTER_DESC,Right-click to summon a monster. Alt + right-click opens morph mode. Ctrl + right-click repeats the last summon.,右键召唤怪物。Alt + 右键打开变形模式。Ctrl + 右键重复上次召唤。如无上次召唤则复制房间怪物。,Clic droit pour invoquer un monstre. Alt + n’importe quel clic ouvre le mode métamorphose. Ctrl + clic droit répète la dernière invocation.,右クリックでモンスターを召喚します。Alt + いずれかのクリックで変身モードを開きます。Ctrl + 右クリックで直前の召喚を繰り返します.,우클릭으로 몬스터를 소환합니다. Alt + 아무 클릭으로 변신 모드를 엽니다. Ctrl + 우클릭으로 마지막 소환을 반복합니다.,Clic derecho para invocar un monstruo. Alt + cualquier clic abre el modo de transformación. Ctrl + clic derecho repite la última invocación.
BOTTLEDMONSTER_MORPH_TYPE,Morph Type,变形类型,Type de métamorphose,変身タイプ,변신 유형,Tipo de transformación
BOTTLEDMONSTER_MORPH_CHARACTERS,Characters,角色,Personnages,キャラクター,캐릭터,Personajes
BOTTLEDMONSTER_MORPH_MONSTERS,Monsters,怪物,Monstres,モンスター,몬스터,Monstruos
BOTTLEDMONSTER_MORPH_ORIGINAL,Original Form,原始形态,Forme originale,元の姿,원래 모습,Forma original
BOTTLEDMONSTERALT_TITLE,Friendly Ball,友好球,Balle amicale,フレンドリーボール,친근한 볼,Bola amistosa
BOTTLEDMONSTERALT_DESC,"Right-click this relic to spawn any monster you want. Ctrl + right click to resummon the last summon. If none, dupe monsters instead.",右键此遗物来生成任意怪物。Ctrl + 右键来重复生成上一个。如没有则复制房间怪物。,"Faites un clic droit sur cette relique pour faire apparaître le monstre de votre choix. Ctrl + clic droit pour invoquer à nouveau le dernier monstre. Si aucun monstre précédent n’existe, duplique les monstres présents.",このレリックを右クリックすると、好きなモンスターを出現させられます。Ctrl + 右クリックで直前に召喚したモンスターを再召喚します。履歴がない場合は、現在のモンスターを複製します。,이 유물을 우클릭하면 원하는 몬스터를 소환할 수 있습니다. Ctrl + 우클릭으로 마지막 소환을 다시 실행합니다. 이전 소환이 없으면 현재 몬스터를 복제합니다.,"Haz clic derecho en esta reliquia para invocar cualquier monstruo. Ctrl + clic derecho para volver a invocar el último. Si no hay ninguno, duplica los monstruos presentes."
ORBBOX_TITLE,Box of Orbs,球盒,Boîte d'orbes,オーブの箱,구체 상자,Caja de orbes
ORBBOX_DESC,Right-click this relic to spawn any orb you want.,右键获得任何你想要的球。,Faites un clic droit sur cette relique pour faire apparaître l'orbe de votre choix.,このレリックを右クリックすると、好きなオーブを生成できます。,이 유물을 우클릭하면 원하는 구체를 생성할 수 있습니다.,Haz clic derecho en esta reliquia para generar cualquier orbe.
ORBBOXALT_TITLE,Book of Virtues,美德之书,Livre des Vertus,美徳の書,미덕의 책,Libro de las Virtudes
ORBBOXALT_DESC,Right-click this relic to spawn any wisp you want.,右键获得任何你想要的魂火跟班。,Faites un clic droit sur cette relique pour faire apparaître le feu follet de votre choix.,このレリックを右クリックすると、好きなウィスプを生成できます。,이 유물을 우클릭하면 원하는 위습을 생성할 수 있습니다.,Haz clic derecho en esta reliquia para generar cualquier fuego fatuo.
ALLINONEBAG_TITLE,Everything Bag,装备箱2.0,Sac universel,なんでもバッグ,만능 가방,Bolsa de todo
ALLINONEBAG_DESC,Right-click this relic to toggle other loadout relics.,右键此遗物来显示/隐藏其他 loadout 遗物。,Faites un clic droit sur cette relique pour afficher ou masquer les autres reliques d'équipement.,このレリックを右クリックすると、ほかのロードアウト用レリックの表示を切り替えます。,이 유물을 우클릭하면 다른 로드아웃 유물의 표시 여부를 전환합니다.,Haz clic derecho en esta reliquia para mostrar u ocultar las demás reliquias de equipamiento.
ALLINONEBAGALT_TITLE,Death Certificate 2.0,死亡证明2.0,Certificat de décès 2.0,死亡証明書 2.0,사망 증명서 2.0,Certificado de defunción 2.0
ALLINONEBAGALT_DESC,Right-click this relic to toggle other loadout relics.,右键此遗物来显示/隐藏其他 loadout 遗物。,Faites un clic droit sur cette relique pour afficher ou masquer les autres reliques d'équipement.,このレリックを右クリックすると、ほかのロードアウト用レリックの表示を切り替えます。,이 유물을 우클릭하면 다른 로드아웃 유물의 표시 여부를 전환합니다.,Haz clic derecho en esta reliquia para mostrar u ocultar las demás reliquias de equipamiento.
BLIGHTCHEST_TITLE,Tiny Blight Chest,小荒疫箱,Petit coffre de Fléaux,小さなブライトチェスト,작은 블라이트 상자,Cofre pequeño de Plagas
BLIGHTCHEST_DESC,"Right-click this relic to obtain any blights. Left-click to obtain, right-click to remove. Ctrl x5, Shift x10.",右键获得任何你想要的荒疫。左键获取，右键移除。Ctrl x5，Shift x10。,"Faites un clic droit sur cette relique pour choisir un Fléau. Clic gauche pour obtenir, clic droit pour retirer. Ctrl x5, Maj x10.",このレリックを右クリックすると、好きなブライトを選べます。左クリックで入手、右クリックで削除。Ctrlで5倍、Shiftで10倍。,"이 유물을 우클릭하면 원하는 블라이트를 선택할 수 있습니다. 좌클릭으로 획득, 우클릭으로 제거합니다. Ctrl x5, Shift x10.","Haz clic derecho en esta reliquia para elegir cualquier Plaga. Clic izquierdo para obtener y clic derecho para quitar. Ctrl x5, Mayús x10."
BLIGHTCHESTALT_TITLE,Tiny Blight Chest,小荒疫箱,Petit coffre de Fléaux,小さなブライトチェスト,작은 블라이트 상자,Cofre pequeño de Plagas
BLIGHTCHESTALT_DESC,"Right-click this relic to obtain any blights. Left-click to obtain, right-click to remove. Ctrl x5, Shift x10.",右键获得任何你想要的荒疫。左键获取，右键移除。Ctrl x5，Shift x10。,"Faites un clic droit sur cette relique pour choisir un Fléau. Clic gauche pour obtenir, clic droit pour retirer. Ctrl x5, Maj x10.",このレリックを右クリックすると、好きなブライトを選べます。左クリックで入手、右クリックで削除。Ctrlで5倍、Shiftで10倍。,"이 유물을 우클릭하면 원하는 블라이트를 선택할 수 있습니다. 좌클릭으로 획득, 우클릭으로 제거합니다. Ctrl x5, Shift x10.","Haz clic derecho en esta reliquia para elegir cualquier Plaga. Clic izquierdo para obtener y clic derecho para quitar. Ctrl x5, Mayús x10."
ALLINONEBAGUP_TITLE,Ultimate Bag,终极装备箱,Sac ultime,究極のバッグ,궁극의 가방,Bolsa definitiva
ALLINONEBAGUP_DESC,Right-click this relic to win the game.,右键此遗物来获取胜利。,Faites un clic droit sur cette relique pour gagner la partie.,このレリックを右クリックすると、ゲームに勝利します。,이 유물을 우클릭하면 게임에서 승리합니다.,Haz clic derecho en esta reliquia para ganar la partida.
HOST_PERMAMODS_DOWNLOAD_TITLE, Download Host Permamod,下载主机永久修改, Télécharger les modifications permanentes de l'hôte, ホストの恒久変更をダウンロード, 호스트 영구 변경 다운로드, Descargar modificaciones permanentes del anfitrión
RELICMODIFIER_TITLE,Relic Modifier,遗物修改器,Modificateur de reliques,レリック改造機,유물 수정기,Modificador de reliquias
RELICMODIFIER_DESC,Right-click this relic to modify owned relics.,右键此遗物以修改已拥有的遗物。,Faites un clic droit sur cette relique pour modifier les reliques possédées ; faites un clic droit sur une relique pour l'inspecter et la modifier.,このレリックを右クリックして所持レリックを変更します。レリックを右クリックして確認・編集します。,이 유물을 우클릭하여 보유 유물을 수정하세요. 유물을 우클릭하여 검사하고 편집합니다.,Haz clic derecho en esta reliquia para modificar las reliquias que posees; haz clic derecho en una reliquia para inspeccionarla y editarla.
RELICMODIFIER_PRESENTATION,Presentation,外观,Présentation,表示,표시,Presentación
RELICMODIFIER_CUSTOM_TITLE,Custom Title,自定义标题,Titre personnalisé,カスタム名,사용자 지정 이름,Título personalizado
RELICMODIFIER_CUSTOM_DESCRIPTION,Custom Description,自定义描述,Description personnalisée,カスタム説明,사용자 지정 설명,Descripción personalizada
RELICMODIFIER_CUSTOM_FLAVOR,Custom Flavor,自定义风味文字,Texte d'ambiance personnalisé,カスタムフレーバー,사용자 지정 플레이버,Texto de ambientación personalizado
RELICMODIFIER_MODIFY_NAME,Modify Name,修改名称,Modifier le nom,名前を変更,이름 수정,Modificar nombre
RELICMODIFIER_MODIFY_DESCRIPTION,Modify Description,修改描述,Modifier la description,説明を変更,설명 수정,Modificar descripción
RELICMODIFIER_MODIFY_FLAVOR,Modify Flavor,修改风味文字,Modifier le texte d'ambiance,フレーバーを変更,플레이버 수정,Modificar ambientación
RELICMODIFIER_DYNAMIC_VARS,Canonical / Dynamic Vars,标准/动态变量,Variables canoniques / dynamiques,基準値 / 動的変数,기본값 / 동적 변수,Variables canónicas / dinámicas
RELICMODIFIER_STATE,Relic State,遗物状态,État de la relique,レリック状態,유물 상태,Estado de la reliquia
RELICMODIFIER_NEVER_MELT,Never Melt,永不熔化,Ne jamais fondre,溶けない,절대 녹지 않음,Nunca fundir
RELICMODIFIER_NEVER_USED,Never Used,永不耗尽,Jamais épuisée,使い切らない,절대 소모되지 않음,Nunca agotada
RELICMODIFIER_COUNTER,Counter,计数器,Compteur,カウンター,카운터,Contador
RELICMODIFIER_COUNTER_LOCK,Lock Counter,锁定计数器,Verrouiller le compteur,カウンターを固定,카운터 잠금,Bloquear contador
RELICMODIFIER_SAVED_PROPERTIES,Saved Properties,已保存属性,Propriétés sauvegardées,保存プロパティ,저장 속성,Propiedades guardadas
ADD_COPIES,Add Copies,添加复制品,Ajouter des copies,コピーを追加,복사본 추가,Añadir copias
RELICMODIFIER_IS_WAX,Is Wax,蜡制状态,Est en cire,蝋製,밀랍 상태,Es de cera
RELICMODIFIER_IS_MELTED,Is Melted,已熔化,Est fondue,溶解済み,녹은 상태,Está fundida
RELICMODIFIER_STATUS,Relic Status,遗物状态,Statut de la relique,レリックの状態,유물 상태,Estado de la reliquia
DAMAGE,Damage,伤害,Dégâts,ダメージ,피해,Daño
DYNAMIC_VAR_DAMAGEBACK,Damage Back,伤害返还,Dégâts de riposte,反撃ダメージ,반격 피해,Daño de respuesta
DYNAMIC_VAR_CALCULATED_BLOCK,Calculated Block,计算格挡,Bloc calculé,計算ブロック,계산된 방어도,Bloqueo calculado
DYNAMIC_VAR_CALCULATED_DAMAGE,Calculated Damage,计算伤害,Dégâts calculés,計算ダメージ,계산된 피해,Daño calculado
DYNAMIC_VAR_CALCULATION_BASE,Base Value,基础数值,Valeur de base,基本値,기본값,Valor base
DYNAMIC_VAR_CALCULATION_EXTRA,Extra Value,额外数值,Valeur supplémentaire,追加値,추가값,Valor adicional
DYNAMIC_VAR_CARDS,Cards,卡牌,Cartes,カード,카드,Cartas
DYNAMIC_VAR_LOADOUT_LESSON_LEARNED_CARDS,Cards to Upgrade,升级牌数,Cartes de Leçon apprise,カード枚数,얻은 교훈 카드 수,Cartas de Lección aprendida
DYNAMIC_VAR_DAMAGE,Damage,伤害,Dégâts,ダメージ,피해,Daño
DYNAMIC_VAR_EXTRA_DAMAGE,Extra Damage,额外伤害,Dégâts supplémentaires,追加ダメージ,추가 피해,Daño adicional
DYNAMIC_VAR_HEAL,Heal,治疗,Soins,回復,회복,Curación
DYNAMIC_VAR_HP_LOSS,HP Loss,生命流失,Perte de PV,HP減少,HP 손실,Pérdida de PV
DYNAMIC_VAR_IF_UPGRADED,If Upgraded,升级时,Si améliorée,アップグレード時,업그레이드 시,Si está mejorada
DYNAMIC_VAR_MAX_HP,Max HP,最大生命值,PV max,最大HP,최대 HP,PV máximos
DYNAMIC_VAR_OSTY_DAMAGE,Osty Damage,奥斯蒂伤害,Dégâts Osty,オスティダメージ,오스티 피해,Daño Osty
DYNAMIC_VAR_STRENGTHLOSS,Strength Loss,力量失去,Perte de Force,筋力低下,힘 감소,Pérdida de Fuerza
DYNAMIC_VAR_POWER,Power,效力,Pouvoir,パワー,파워,Poder
DYNAMIC_VAR_INCREASE,Increase,增加,Augmenter,増加,증가,Aumentar
CURSE,Curse,诅咒,Malédiction,呪い,저주,Maldición
QUEST,Quest,任务,Quête,クエスト,퀘스트,Misión
STATUS,Status,状态,Statut,状態,상태,Estado
TOKEN,Token,衍生,Jeton,トークン,토큰,Ficha
ALLOW_GUEST_LOADOUT_PANEL,Allow others to use Loadout panel,允许他人使用Loadout,Autoriser les autres à utiliser le panneau d'équipement,他のプレイヤーによるロードアウトパネルの使用を許可,다른 플레이어의 로드아웃 패널 사용 허용,Permitir que otros usen el panel de equipamiento
MONSTER_CATEGORY_BOSS,Boss,Boss,Boss,ボス,보스,Jefe
MONSTER_CATEGORY_ELITE,Elite,精英,Élite,エリート,엘리트,Élite
MONSTER_CATEGORY_MONSTER,Monster,普通,Monstre,モンスター,몬스터,Monstruo
DECK_LOADOUTS_TITLE,Loadouts,卡组预设,Équipements,ロードアウト,로드아웃,Equipamientos
NO_SAVED_LOADOUTS,No saved loadouts,没有已保存的预设方案,Aucun équipement enregistré,保存済みロードアウトはありません,저장된 로드아웃이 없습니다,No hay equipamientos guardados
SAVE_CARDS_LOADOUT,Save Cards,保存卡牌预设,Enregistrer les cartes,カードを保存,카드 저장,Guardar cartas
SAVE_RELICS_LOADOUT,Save Relics,保存遗物预设,Enregistrer les reliques,レリックを保存,유물 저장,Guardar reliquias
SAVE_CARDS_RELICS_LOADOUT,Save Cards + Relics,保存卡牌 + 遗物预设,Enregistrer cartes + reliques,カード + レリックを保存,카드 + 유물 저장,Guardar cartas + reliquias
APPLY_LOADOUT,Apply,使用该预设,Appliquer,適用,적용,Aplicar
RENAME_LOADOUT,Rename,重命名,Renommer,名前を変更,이름 변경,Renombrar
DELETE_LOADOUT,Delete,删除,Supprimer,削除,삭제,Eliminar
IMPORT_LOADOUT,Import from clipboard,导入剪贴板,Importer depuis le presse-papiers,クリップボードからインポート,클립보드에서 가져오기,Importar desde el portapapeles
EXPORT_LOADOUT,Export to clipboard,导出剪贴板,Exporter vers le presse-papiers,クリップボードへエクスポート,클립보드로 내보내기,Exportar al portapapeles
EXPORT_CARDS_LOADOUT,Export Deck,导出当前卡组,Exporter le deck,現在のデッキをエクスポート,현재 덱 내보내기,Exportar mazo
EXPORT_CARDS_RELICS_LOADOUT,Export Deck + Relics,导出卡组 + 遗物,Exporter deck + reliques,デッキ + レリックをエクスポート,덱 + 유물 내보내기,Exportar mazo + reliquias
LOADOUT_NAME_PLACEHOLDER,Loadout name,预设名称,Nom de l'équipement,ロードアウト名,로드아웃 이름,Nombre del equipamiento
LOADOUT_KIND_RELICS,Relics,遗物,Reliques,レリック,유물,Reliquias
LOADOUT_KIND_BOTH,Cards + Relics,卡牌 + 遗物,Cartes + reliques,カード + レリック,카드 + 유물,Cartas + reliquias
LOADOUT_KIND_CARDS,Cards,卡牌,Cartes,カード,카드,Cartas
LOADOUT_NO_PLAYER,No run player available.,当前局没有可用的玩家。,Aucun joueur de partie disponible.,現在のランに利用可能なプレイヤーがいません。,현재 런에 사용 가능한 플레이어가 없습니다.,No hay ningún jugador disponible en la partida.
LOADOUT_SAVED,Saved loadout.,已保存预设方案。,Équipement enregistré.,ロードアウトを保存しました。,로드아웃을 저장했습니다.,Equipamiento guardado.
LOADOUT_SELECT_FIRST,Select a loadout first.,请先选择一个预设方案。,Sélectionnez d'abord un équipement.,先にロードアウトを選択してください。,먼저 로드아웃을 선택하세요.,Selecciona primero un equipamiento.
LOADOUT_APPLY_FAILED,Could not apply loadout.,无法应用预设方案。,Impossible d'appliquer l'équipement.,ロードアウトを適用できませんでした。,로드아웃을 적용할 수 없습니다.,No se pudo aplicar el equipamiento.
LOADOUT_APPLIED,Applied loadout.,已应用预设方案。,Équipement appliqué.,ロードアウトを適用しました。,로드아웃을 적용했습니다.,Equipamiento aplicado.
LOADOUT_RENAME_LOCAL_ONLY,Only local loadouts can be renamed.,只能重命名本地预设方案。,Seuls les équipements locaux peuvent être renommés.,名前を変更できるのはローカルのロードアウトのみです。,로컬 로드아웃만 이름을 변경할 수 있습니다.,Solo se pueden renombrar los equipamientos locales.
LOADOUT_RENAMED,Renamed loadout.,已重命名预设方案。,Équipement renommé.,ロードアウト名を変更しました。,로드아웃 이름을 변경했습니다.,Equipamiento renombrado.
LOADOUT_DELETE_LOCAL_ONLY,Only local loadouts can be deleted.,只能删除本地预设方案。,Seuls les équipements locaux peuvent être supprimés.,削除できるのはローカルのロードアウトのみです。,로컬 로드아웃만 삭제할 수 있습니다.,Solo se pueden eliminar los equipamientos locales.
LOADOUT_DELETED,Deleted loadout.,已删除预设方案。,Équipement supprimé.,ロードアウトを削除しました。,로드아웃을 삭제했습니다.,Equipamiento eliminado.
LOADOUT_EXPORTED,Exported loadout.,已导出预设方案。,Équipement exporté.,ロードアウトをエクスポートしました。,로드아웃을 내보냈습니다.,Equipamiento exportado.
LOADOUT_EXPORT_FAILED,Could not export loadout.,无法导出预设方案。,Impossible d'exporter l'équipement.,ロードアウトをエクスポートできませんでした。,로드아웃을 내보낼 수 없습니다.,No se pudo exportar el equipamiento.
LOADOUT_IMPORTED,Imported loadout.,已导入预设方案。,Équipement importé.,ロードアウトをインポートしました。,로드아웃을 가져왔습니다.,Equipamiento importado.
LOADOUT_CLIPBOARD_INVALID,Clipboard is invalid.,剪贴板内容无效。,Le presse-papiers n'est pas valide.,クリップボードの内容が無効です。,클립보드 내용이 잘못되었습니다.,El portapapeles no es válido.
REMOVE_ALL_RELICS,Remove All Relics,移除所有遗物,Supprimer toutes les reliques,すべてのレリックを削除,모든 유물 제거,Eliminar todas las reliquias
REMOVE_ALL_CARDS,Remove All Cards,移除所有卡牌,Supprimer toutes les cartes,すべてのカードを削除,모든 카드 제거,Eliminar todas las cartas
CREATURE_MANIP_REPOSITION,Reposition,拖拽移动,Déplacer,ドラッグ移動,드래그 이동,Reposicionar
CREATURE_MANIP_POWERS,Edit Powers,编辑能力,Modifier les pouvoirs,能力を編集,능력 편집,Editar poderes
CREATURE_MANIP_KILL,Insta Kill,秒杀,Tuer instantanément,即死,즉시 처치,Matar al instante
CREATURE_MANIP_KILL_CONFIRM,Are you sure?,确定吗？,Confirmer ?,本当ですか？,확실합니까?,¿Estás seguro?
CREATURE_MANIP_STATS,Edit Stats,编辑属性,Modifier les stats,ステータス編集,능력치 편집,Editar atributos
CREATURE_MANIP_DUPLICATE,Duplicate,复制,Dupliquer,複製,복제,Duplicar
CREATURE_MANIP_CURRENT_POWERS,Current Powers,当前能力,Pouvoirs actuels,現在のパワー,현재 능력,Poderes actuales
CREATURE_MANIP_STATS_TITLE,Creature Stats,生物属性,Stats de la créature,クリーチャーのステータス,크리처 능력치,Atributos de criatura
CREATURE_MANIP_CURRENT_HP,Current HP,当前生命,PV actuels,現在HP,현재 체력,PV actuales
CREATURE_MANIP_MAX_HP,Max HP,最大生命,PV max,最大HP,최대 체력,PV máximos
CREATURE_MANIP_BLOCK,Block,格挡,Blocage,ブロック,방어도,Bloqueo
XGGG_HANDDRILL_OBTAIN, ..,七点钟还能用电钻的吗？,..,..,..,..
CARD_PILE_TARGET,Pile Target,卡堆,Cible de pile,カード山,카드 더미 대상,Objetivo de pila
CARD_PILE_HAND_AND_DECK,Hand + Deck,手牌 + 牌组,Main + Deck,手札 + デッキ,손패 + 덱,Mano + Mazo
CARD_PILE_DECK,Deck,牌组,Deck,デッキ,덱,Mazo
CARD_PILE_HAND,Hand,手牌,Main,手札,손패,Mano
CARD_PILE_DRAW,Draw Pile,抽牌堆,Pioche,山札,뽑기 더미,Pila de robo
CARD_PILE_DISCARD,Discard Pile,弃牌堆,Défausse,捨て札,버린 카드 더미,Pila de descarte
CARD_PILE_EXHAUST,Exhaust Pile,消耗堆,Épuisement,廃棄,소멸 더미,Pila de agotamiento
FILTER_GROUP_GAME_MODE,Game Mode,游戏模式,Mode de jeu,ゲームモード,게임 모드,Modo de juego
CARD_MODE_MULTIPLAYER,Multiplayer,多人游戏,Multijoueur,マルチプレイ,멀티플레이,Multijugador
CARD_MODE_SINGLEPLAYER,Singleplayer,单人游戏,Solo,シングルプレイ,싱글플레이,Un jugador
CUSTOM_RUNS,Custom Runs,自定义游戏,Parties personnalisées,カスタムラン,커스텀 런,Partidas personalizadas
CUSTOM_RUN_EDITOR,Custom Run Editor,自定义游戏编辑器,Éditeur de partie personnalisée,カスタムランエディター,커스텀 런 편집기,Editor de partida personalizada
CUSTOM_RUN_RULE_EDITOR,Rule Editor,规则编辑器,Éditeur de règle,ルールエディター,규칙 편집기,Editor de reglas
CUSTOM_RUN_OVERVIEW,Overview,概览,Aperçu,概要,개요,Resumen
CUSTOM_RUN_RUN_SETUP,Run Setup,开局设置,Configuration de la partie,ラン設定,런 설정,Configuración de partida
CUSTOM_RUN_PLAYER_CHOICES,Player Choices,玩家选择,Choix des joueurs,プレイヤー選択,플레이어 선택,Elecciones de jugadores
CUSTOM_RUN_RULES,Rules,规则,Règles,ルール,규칙,Reglas
CUSTOM_RUN_VARIABLES,Variables,变量,Variables,変数,변수,Variables
CUSTOM_RUN_PERMANENT_RULES,Permanent Rules,永久规则,Règles permanentes,恒久ルール,영구 규칙,Reglas permanentes
CUSTOM_RUN_CANCEL_RUN,Cancel Run,取消游戏,Annuler la partie,ランをキャンセル,런 취소,Cancelar partida
CUSTOM_RUN_LOADED,Custom Run loaded  •  {0},已加载自定义游戏  •  {0},Partie personnalisée chargée  •  {0},カスタムラン読込済み  •  {0},커스텀 런 불러옴  •  {0},Partida personalizada cargada  •  {0}
CUSTOM_RUN_UNTITLED,Untitled Custom Run,未命名自定义游戏,Partie personnalisée sans titre,無題のカスタムラン,제목 없는 커스텀 런,Partida personalizada sin título
CUSTOM_RUN_UNNAMED,Unnamed Custom Run,未命名自定义游戏,Partie personnalisée sans nom,名前のないカスタムラン,이름 없는 커스텀 런,Partida personalizada sin nombre
CUSTOM_RUN_READY,Ready.,就绪。,Prêt.,準備完了。,준비 완료.,Listo.
CUSTOM_RUN_DESCRIPTION,Description,描述,Description,説明,설명,Descripción
CUSTOM_RUN_DEFINITION_ID,Definition ID,定义 ID,ID de définition,定義ID,정의 ID,ID de definición
CUSTOM_RUN_SCHEMA,Schema,架构,Schéma,スキーマ,스키마,Esquema
CUSTOM_RUN_RUN_SEED,Run Seed,游戏种子,Graine de partie,ランシード,런 시드,Semilla de partida
CUSTOM_RUN_GAME_DEFAULT_RANDOM,Random,随机,Aléatoire,ランダム,무작위,Aleatorio
CUSTOM_RUN_STARTING_ASCENSION,Starting Ascension,初始进阶,Ascension de départ,開始アセンション,시작 승천,Ascensión inicial
CUSTOM_RUN_ROLE_ASSIGNMENT,Role Assignment,职责分配,Attribution des rôles,ロール割り当て,역할 배정,Asignación de roles
CUSTOM_RUN_PLAYERS_CHOOSE,Players Choose,玩家选择,Les joueurs choisissent,プレイヤーが選択,플레이어 선택,Eligen los jugadores
CUSTOM_RUN_HOST_ASSIGNS,Host Assigns,房主分配,L'hôte attribue,ホストが割り当て,호스트 배정,Asigna el anfitrión
CUSTOM_RUN_RANDOM_ON_EMBARK,Random on Embark,出发时随机,Aléatoire au départ,出発時にランダム,출발 시 무작위,Aleatorio al partir
CUSTOM_RUN_ADD_ROLE,Add Role,添加职责,Ajouter un rôle,ロールを追加,역할 추가,Añadir rol
CUSTOM_RUN_ROLE_DETAILS,Role Details,职责详情,Détails du rôle,ロール詳細,역할 세부 정보,Detalles del rol
